Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,3.535,0.158,0.71131,66.6667,0.001
1,2.709,0.144,0.37908,85.4342,0.001
2,2.768,0.198,0.38106,85.9944,0.001
3,2.758,0.194,0.3257,86.5546,0.001
4,2.769,0.199,0.29297,89.0756,0.001
5,2.728,0.159,0.14495,95.7983,0.001
6,2.771,0.201,0.03244,98.8796,0.001
7,2.767,0.197,0.10228,96.3585,0.0001
8,2.766,0.2,0.04263,98.5994,0.0001
9,2.76,0.191,0.03475,98.8796,1e-05
10,2.746,0.178,0.03746,98.5994,1e-05
11,2.771,0.201,0.06236,96.6387,1.0000000000000002e-06
12,2.778,0.209,0.02762,99.7199,1.0000000000000002e-06
13,2.772,0.202,0.0378,99.4398,1.0000000000000002e-07
14,2.77,0.198,0.03005,98.8796,1.0000000000000002e-07
15,2.771,0.204,0.04371,98.5994,1.0000000000000004e-08
16,2.757,0.193,0.02931,98.5994,1.0000000000000004e-08
17,2.769,0.197,0.04829,98.0392,1.0000000000000004e-08
18,2.751,0.184,0.03544,98.5994,1.0000000000000004e-08
19,2.76,0.192,0.03383,98.8796,1.0000000000000004e-08
20,2.748,0.183,0.03283,99.1597,1.0000000000000004e-08
21,2.773,0.202,0.04615,98.0392,1.0000000000000004e-08
22,2.771,0.201,0.02671,99.4398,1.0000000000000004e-08
23,2.772,0.203,0.04054,98.3193,1.0000000000000004e-08
24,2.761,0.191,0.03124,99.1597,1.0000000000000004e-08
25,2.742,0.174,0.05475,98.5994,1.0000000000000004e-08
26,2.765,0.194,0.03608,99.1597,1.0000000000000004e-08
27,2.762,0.193,0.03191,99.1597,1.0000000000000004e-08
28,2.759,0.188,0.0379,98.8796,1.0000000000000004e-08
29,2.762,0.194,0.05474,98.3193,1.0000000000000004e-08
30,2.768,0.198,0.02683,99.1597,1.0000000000000004e-08
31,2.764,0.193,0.05022,98.0392,1.0000000000000004e-08
32,2.768,0.197,0.05199,98.5994,1.0000000000000004e-08
33,2.767,0.199,0.04225,98.8796,1.0000000000000004e-08
34,2.748,0.177,0.04115,98.3193,1.0000000000000004e-08
35,2.77,0.202,0.04088,98.5994,1.0000000000000004e-08
36,2.751,0.186,0.03339,99.1597,1.0000000000000004e-08
37,2.748,0.178,0.01994,99.4398,1.0000000000000004e-08
38,2.757,0.185,0.0332,98.3193,1.0000000000000004e-08
39,2.756,0.183,0.02813,99.7199,1.0000000000000004e-08
40,2.763,0.197,0.04357,98.0392,1.0000000000000004e-08
41,2.764,0.2,0.0339,99.1597,1.0000000000000004e-08
42,2.756,0.187,0.05194,97.479,1.0000000000000004e-08
43,2.755,0.188,0.03947,98.3193,1.0000000000000004e-08
44,2.761,0.196,0.02248,99.4398,1.0000000000000004e-08
45,2.762,0.193,0.02817,99.1597,1.0000000000000004e-08
46,2.743,0.173,0.03704,98.3193,1.0000000000000004e-08
47,2.761,0.193,0.0285,99.1597,1.0000000000000004e-08
48,2.727,0.159,0.0264,99.1597,1.0000000000000004e-08
49,2.742,0.173,0.02599,98.8796,1.0000000000000004e-08
50,2.763,0.194,0.02338,100.0,1.0000000000000004e-08
51,2.75,0.182,0.05554,98.3193,1.0000000000000004e-08
52,2.732,0.166,0.06073,97.479,1.0000000000000004e-08
53,2.768,0.199,0.06209,96.6387,1.0000000000000004e-08
54,2.764,0.192,0.03712,98.8796,1.0000000000000004e-08
55,2.766,0.193,0.05528,97.7591,1.0000000000000004e-08
56,2.773,0.2,0.0285,98.8796,1.0000000000000004e-08
57,2.763,0.189,0.03662,98.5994,1.0000000000000004e-08
58,2.752,0.179,0.02138,99.4398,1.0000000000000004e-08
59,2.759,0.186,0.06109,98.0392,1.0000000000000004e-08
