Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,6.064,0.873,0.74752,54.0616,0.01
1,2.869,0.854,0.70426,64.7059,0.01
2,2.885,0.853,0.63359,68.0672,0.01
3,2.917,0.889,0.52001,75.9104,0.001
4,2.883,0.851,0.48011,76.7507,0.001
5,2.904,0.878,0.46504,78.7115,0.0001
6,2.909,0.875,0.47389,78.9916,0.0001
7,2.802,0.771,0.46507,75.6303,0.0001
8,2.815,0.782,0.4832,78.1513,0.0001
9,2.884,0.856,0.47419,76.7507,1e-05
10,2.875,0.84,0.4625,77.3109,1e-05
11,2.865,0.834,0.45451,77.3109,1.0000000000000002e-06
12,2.815,0.782,0.45651,77.591,1.0000000000000002e-06
13,2.877,0.845,0.47471,78.1513,1.0000000000000002e-07
14,2.816,0.782,0.47956,77.591,1.0000000000000002e-07
15,2.867,0.838,0.49121,75.9104,1.0000000000000004e-08
16,2.841,0.805,0.44056,80.112,1.0000000000000004e-08
17,2.939,0.91,0.45768,77.591,1.0000000000000004e-08
18,2.932,0.897,0.46792,76.1905,1.0000000000000004e-08
19,2.939,0.91,0.45978,77.3109,1.0000000000000004e-08
20,2.895,0.862,0.49448,79.8319,1.0000000000000004e-08
21,2.906,0.87,0.46719,78.4314,1.0000000000000004e-08
22,2.882,0.856,0.43721,80.112,1.0000000000000004e-08
23,2.885,0.858,0.42874,78.7115,1.0000000000000004e-08
24,2.921,0.894,0.48933,75.6303,1.0000000000000004e-08
25,2.941,0.913,0.45335,77.8711,1.0000000000000004e-08
26,2.836,0.803,0.42215,80.3922,1.0000000000000004e-08
27,2.84,0.81,0.48157,77.3109,1.0000000000000004e-08
28,2.936,0.901,0.46798,75.3501,1.0000000000000004e-08
29,2.861,0.83,0.4417,78.7115,1.0000000000000004e-08
30,2.934,0.893,0.46566,79.5518,1.0000000000000004e-08
31,2.97,0.936,0.43246,81.2325,1.0000000000000004e-08
32,2.854,0.816,0.4805,77.591,1.0000000000000004e-08
33,2.858,0.82,0.45027,77.591,1.0000000000000004e-08
34,2.936,0.89,0.4638,78.7115,1.0000000000000004e-08
35,2.873,0.84,0.48878,74.5098,1.0000000000000004e-08
36,2.924,0.881,0.46592,76.4706,1.0000000000000004e-08
37,2.799,0.762,0.45464,79.2717,1.0000000000000004e-08
38,2.927,0.885,0.43273,80.9524,1.0000000000000004e-08
39,2.859,0.833,0.49835,74.7899,1.0000000000000004e-08
40,2.925,0.883,0.4477,77.591,1.0000000000000004e-08
41,2.871,0.837,0.47997,76.4706,1.0000000000000004e-08
42,2.92,0.881,0.49232,77.591,1.0000000000000004e-08
43,2.864,0.83,0.48225,76.4706,1.0000000000000004e-08
44,2.917,0.875,0.44682,80.6723,1.0000000000000004e-08
45,2.905,0.87,0.42926,80.112,1.0000000000000004e-08
46,2.82,0.78,0.47778,77.8711,1.0000000000000004e-08
47,2.892,0.854,0.50594,74.5098,1.0000000000000004e-08
48,2.932,0.887,0.44003,77.0308,1.0000000000000004e-08
49,2.789,0.752,0.48151,73.6695,1.0000000000000004e-08
50,2.794,0.751,0.47348,77.8711,1.0000000000000004e-08
51,2.824,0.793,0.42614,80.112,1.0000000000000004e-08
52,2.732,0.704,0.48785,74.5098,1.0000000000000004e-08
53,2.857,0.836,0.46811,78.1513,1.0000000000000004e-08
54,2.636,0.603,0.44366,79.8319,1.0000000000000004e-08
55,2.769,0.74,0.48726,77.0308,1.0000000000000004e-08
56,2.756,0.72,0.49113,77.3109,1.0000000000000004e-08
57,2.732,0.7,0.43279,77.591,1.0000000000000004e-08
58,2.832,0.797,0.42137,81.7927,1.0000000000000004e-08
59,2.859,0.831,0.44295,78.1513,1.0000000000000004e-08
60,2.921,0.883,0.48134,78.1513,1.0000000000000004e-08
61,2.892,0.861,0.4354,79.5518,1.0000000000000004e-08
