Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,3.609,0.08,0.95947,58.5434,0.001
1,2.759,0.046,0.64527,78.1513,0.001
2,2.789,0.072,0.36192,88.7955,0.001
3,2.773,0.054,0.13115,95.7983,0.001
4,2.763,0.055,0.08971,97.1989,0.001
5,2.767,0.057,0.02754,99.4398,0.0001
6,2.781,0.071,0.03891,98.3193,0.0001
7,2.781,0.071,0.03986,98.3193,1e-05
8,2.762,0.053,0.01848,99.7199,1e-05
9,2.773,0.062,0.02801,98.8796,1.0000000000000002e-06
10,2.782,0.071,0.02336,99.4398,1.0000000000000002e-06
11,2.78,0.069,0.02387,99.1597,1.0000000000000002e-07
12,2.787,0.077,0.02895,98.5994,1.0000000000000002e-07
13,2.792,0.077,0.03295,98.5994,1.0000000000000004e-08
14,2.753,0.045,0.03029,98.8796,1.0000000000000004e-08
15,2.776,0.068,0.02337,99.7199,1.0000000000000004e-08
16,2.761,0.052,0.02346,98.8796,1.0000000000000004e-08
17,2.774,0.065,0.05061,97.7591,1.0000000000000004e-08
18,2.784,0.074,0.03779,99.1597,1.0000000000000004e-08
19,2.773,0.064,0.03034,98.8796,1.0000000000000004e-08
20,2.77,0.06,0.02754,98.8796,1.0000000000000004e-08
21,2.758,0.048,0.02503,99.4398,1.0000000000000004e-08
22,2.788,0.077,0.01893,99.4398,1.0000000000000004e-08
23,2.782,0.073,0.04156,97.7591,1.0000000000000004e-08
24,2.791,0.08,0.02845,99.4398,1.0000000000000004e-08
25,2.776,0.063,0.03598,98.5994,1.0000000000000004e-08
26,2.776,0.068,0.02929,99.1597,1.0000000000000004e-08
27,2.759,0.053,0.01096,100.0,1.0000000000000004e-08
28,2.779,0.069,0.02439,99.4398,1.0000000000000004e-08
29,2.772,0.063,0.03758,98.5994,1.0000000000000004e-08
30,2.782,0.072,0.03516,98.5994,1.0000000000000004e-08
31,2.788,0.081,0.02403,99.1597,1.0000000000000004e-08
32,2.772,0.067,0.01414,99.7199,1.0000000000000004e-08
33,2.782,0.073,0.02407,99.7199,1.0000000000000004e-08
34,2.782,0.075,0.04345,98.0392,1.0000000000000004e-08
35,2.774,0.065,0.0339,98.8796,1.0000000000000004e-08
36,2.778,0.067,0.01523,99.7199,1.0000000000000004e-08
37,2.782,0.071,0.06895,97.479,1.0000000000000004e-08
38,2.771,0.062,0.01802,99.7199,1.0000000000000004e-08
39,2.776,0.066,0.03832,98.3193,1.0000000000000004e-08
