Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,1.253,0.015,1.60099,58.9812,0.0005
1,1.056,0.022,0.68331,75.067,0.0005
2,1.075,0.045,0.72629,75.8713,0.0005
3,1.053,0.022,0.58854,79.8928,0.0005
4,1.073,0.04,0.39179,83.9142,0.0005
5,1.067,0.035,0.34646,84.7185,0.0005
6,1.061,0.028,0.3606,88.4719,5e-05
7,1.076,0.04,0.38678,83.6461,5e-05
8,1.061,0.027,0.24668,89.8123,5e-05
9,1.061,0.026,0.23166,89.2761,5e-05
10,1.051,0.02,0.25493,88.2038,5e-05
11,1.064,0.034,0.24209,90.3485,5e-05
12,1.071,0.042,0.27432,89.5442,5e-06
13,1.065,0.034,0.26283,88.74,5e-06
14,1.071,0.039,0.21618,89.5442,5e-06
15,1.075,0.042,0.28117,90.3485,5e-06
16,1.058,0.022,0.29648,88.2038,5e-06
17,1.075,0.041,0.25918,89.8123,5e-06
18,1.053,0.019,0.25759,89.5442,5.000000000000001e-07
19,1.068,0.033,0.26822,87.9357,5.000000000000001e-07
20,1.065,0.028,0.27171,89.008,5.000000000000001e-07
21,1.051,0.016,0.28689,90.0804,5.000000000000001e-07
22,1.073,0.035,0.26797,88.2038,5.000000000000001e-07
23,1.073,0.033,0.24318,90.3485,5.000000000000001e-07
24,1.075,0.037,0.21129,90.8847,5.000000000000001e-08
25,1.059,0.025,0.33288,90.3485,5.000000000000001e-08
26,1.066,0.028,0.28426,87.6676,5.000000000000001e-08
27,1.052,0.018,0.26911,87.3995,5.000000000000001e-08
28,1.066,0.034,0.26898,89.5442,5.000000000000001e-08
29,1.072,0.038,0.23837,90.0804,5.000000000000001e-08
30,1.073,0.04,0.22276,90.0804,5.000000000000001e-08
31,1.073,0.036,0.25225,89.8123,5.000000000000001e-08
32,1.066,0.025,0.25895,90.8847,5.000000000000001e-08
33,1.074,0.036,0.30071,87.9357,5.000000000000001e-08
34,1.062,0.023,0.25527,91.1528,5.000000000000001e-08
35,1.06,0.025,0.23477,92.2252,5.000000000000001e-08
36,1.062,0.024,0.27928,89.2761,5.000000000000001e-08
37,1.066,0.027,0.22877,89.8123,5.000000000000001e-08
38,1.072,0.03,0.28271,88.74,5.000000000000001e-08
39,1.069,0.028,0.23046,90.8847,5.000000000000001e-08
40,1.069,0.029,0.27289,87.6676,5.000000000000001e-08
41,1.061,0.026,0.22309,90.8847,5.000000000000001e-08
42,1.066,0.028,0.28464,87.9357,5.000000000000001e-08
43,1.072,0.034,0.22356,91.9571,5.000000000000001e-08
44,1.062,0.024,0.25367,90.6166,5.000000000000001e-08
45,1.06,0.023,0.26884,88.74,5.000000000000001e-08
46,1.066,0.027,0.24068,89.5442,5.000000000000001e-08
47,1.061,0.022,0.26651,89.8123,5.000000000000001e-08
48,1.064,0.026,0.23598,89.5442,5.000000000000001e-08
49,1.061,0.022,0.22371,89.2761,5.000000000000001e-08
