Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,2.327,0.091,0.58334,69.1689,0.0005
1,1.942,0.187,0.40458,81.7694,0.0005
2,1.854,0.103,0.35912,85.2547,0.0005
3,1.84,0.088,0.32509,84.9866,0.0005
4,1.827,0.079,0.30385,87.1314,5e-05
5,1.823,0.07,0.29885,86.3271,5e-05
6,1.818,0.071,0.33166,85.2547,5e-05
7,1.842,0.091,0.25158,90.8847,5e-06
8,1.856,0.105,0.25461,89.2761,5e-06
9,1.834,0.084,0.25839,89.008,5.000000000000001e-07
10,1.857,0.107,0.29094,86.059,5.000000000000001e-07
11,1.828,0.079,0.21635,90.8847,5.000000000000001e-08
12,1.844,0.094,0.23308,90.0804,5.000000000000001e-08
13,1.818,0.069,0.22441,90.6166,5.000000000000002e-09
14,1.829,0.08,0.24739,89.5442,5.000000000000002e-09
15,1.841,0.089,0.25017,88.74,5.000000000000002e-09
16,1.806,0.056,0.23211,89.8123,5.000000000000002e-09
17,1.844,0.093,0.25455,90.3485,5.000000000000002e-09
18,1.828,0.078,0.2667,88.4719,5.000000000000002e-09
19,1.834,0.084,0.22095,90.8847,5.000000000000002e-09
20,1.867,0.116,0.28249,86.8633,5.000000000000002e-09
21,1.827,0.078,0.23882,90.0804,5.000000000000002e-09
22,1.851,0.099,0.21359,91.689,5.000000000000002e-09
23,1.872,0.12,0.29951,86.5952,5.000000000000002e-09
24,1.819,0.07,0.23672,91.9571,5.000000000000002e-09
25,1.831,0.079,0.2771,89.008,5.000000000000002e-09
26,1.813,0.066,0.26083,89.2761,5.000000000000002e-09
27,1.82,0.073,0.25125,89.008,5.000000000000002e-09
28,1.822,0.074,0.24381,90.0804,5.000000000000002e-09
29,1.877,0.125,0.24588,90.6166,5.000000000000002e-09
30,1.846,0.095,0.22242,89.8123,5.000000000000002e-09
31,1.834,0.083,0.25057,88.4719,5.000000000000002e-09
32,1.836,0.086,0.25072,89.5442,5.000000000000002e-09
33,1.817,0.068,0.2621,88.74,5.000000000000002e-09
34,1.834,0.083,0.28073,88.2038,5.000000000000002e-09
35,1.82,0.074,0.25122,88.74,5.000000000000002e-09
36,1.834,0.085,0.21443,91.689,5.000000000000002e-09
37,1.845,0.094,0.26845,87.9357,5.000000000000002e-09
38,1.832,0.08,0.24032,90.3485,5.000000000000002e-09
39,1.826,0.077,0.25675,89.5442,5.000000000000002e-09
