Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,3.869,0.064,6.61485,64.8794,0.0005
1,3.663,0.075,5.36873,59.7855,0.0005
2,3.677,0.088,1.22129,66.2198,0.0005
3,3.675,0.083,1.53969,67.5603,0.0005
4,3.694,0.106,1.01383,66.4879,0.0005
5,3.673,0.084,0.88987,67.2922,0.0005
6,3.656,0.065,1.27555,68.9008,0.0005
7,3.678,0.087,0.46042,81.5013,5e-05
8,3.689,0.097,0.4382,77.748,5e-05
9,3.7,0.113,0.50079,75.3351,5e-05
10,3.681,0.095,0.46348,79.3566,5e-05
11,3.687,0.103,0.47623,76.4075,5e-05
12,3.648,0.057,0.43604,77.2118,5e-05
13,3.703,0.114,0.48459,76.9437,5e-06
14,3.693,0.105,0.41088,79.8928,5e-06
15,3.682,0.093,0.37909,82.3056,5e-06
16,3.674,0.081,0.40698,79.8928,5.000000000000001e-07
17,3.663,0.067,0.4045,80.9651,5.000000000000001e-07
18,3.67,0.074,0.39894,81.7694,5.000000000000001e-07
19,3.658,0.068,0.38739,81.7694,5.000000000000001e-08
20,3.675,0.079,0.40042,81.2332,5.000000000000001e-08
21,3.654,0.064,0.4083,78.8204,5.000000000000001e-08
22,3.656,0.066,0.38403,81.7694,5.000000000000001e-08
23,3.684,0.099,0.41183,80.1609,5.000000000000001e-08
24,3.664,0.074,0.38696,81.5013,5.000000000000001e-08
25,3.678,0.082,0.4152,78.5523,5.000000000000001e-08
26,3.681,0.089,0.37366,86.059,5.000000000000001e-08
27,3.666,0.071,0.42432,78.8204,5.000000000000001e-08
28,3.672,0.079,0.38636,80.9651,5.000000000000001e-08
29,3.689,0.097,0.37068,82.5737,5.000000000000001e-08
30,3.674,0.081,0.40072,80.9651,5.000000000000001e-08
31,3.674,0.084,0.42266,80.429,5.000000000000001e-08
32,3.681,0.092,0.39914,82.0375,5.000000000000001e-08
33,3.672,0.078,0.42324,79.0885,5.000000000000001e-08
34,3.675,0.086,0.40292,79.3566,5.000000000000001e-08
35,3.679,0.088,0.41412,81.2332,5.000000000000001e-08
36,3.67,0.075,0.38935,82.0375,5.000000000000001e-08
37,3.67,0.076,0.40114,80.429,5.000000000000001e-08
38,3.673,0.083,0.39522,81.7694,5.000000000000001e-08
39,3.663,0.069,0.40738,79.8928,5.000000000000001e-08
40,3.673,0.075,0.43496,78.8204,5.000000000000001e-08
41,3.693,0.098,0.41829,80.429,5.000000000000001e-08
42,3.692,0.093,0.39023,81.5013,5.000000000000001e-08
43,3.679,0.078,0.39969,82.0375,5.000000000000001e-08
44,3.69,0.088,0.40807,78.5523,5.000000000000001e-08
45,3.683,0.08,0.42673,79.6247,5.000000000000001e-08
46,3.678,0.075,0.39216,81.7694,5.000000000000001e-08
47,3.684,0.078,0.41509,79.6247,5.000000000000001e-08
48,3.675,0.073,0.39841,79.8928,5.000000000000001e-08
49,3.657,0.053,0.42178,79.3566,5.000000000000001e-08
