Epoch,Batch Time,Data Time,Loss,Prec@1,lr
0,3.768,0.186,0.65337,63.807,0.0005
1,2.963,0.172,0.44115,79.3566,0.0005
2,2.969,0.177,0.37729,83.6461,0.0005
3,2.997,0.206,0.29618,86.059,5e-05
4,2.988,0.207,0.29673,87.6676,5e-05
5,2.947,0.169,0.25406,90.8847,5e-06
6,3.009,0.229,0.28682,87.9357,5e-06
7,3.027,0.237,0.29865,86.5952,5.000000000000001e-07
8,2.96,0.168,0.29609,86.059,5.000000000000001e-07
9,2.978,0.196,0.27427,86.8633,5.000000000000001e-08
10,2.979,0.195,0.30021,85.2547,5.000000000000001e-08
11,2.993,0.213,0.26614,88.2038,5.000000000000002e-09
12,2.955,0.169,0.34094,84.1823,5.000000000000002e-09
13,2.968,0.184,0.28092,87.1314,5.000000000000002e-09
14,2.998,0.211,0.32228,83.378,5.000000000000002e-09
15,2.979,0.186,0.28194,87.6676,5.000000000000002e-09
16,2.95,0.171,0.28609,86.8633,5.000000000000002e-09
17,2.949,0.16,0.29556,87.1314,5.000000000000002e-09
18,2.962,0.181,0.26596,88.74,5.000000000000002e-09
19,2.98,0.196,0.26616,88.4719,5.000000000000002e-09
20,3.011,0.225,0.2714,88.2038,5.000000000000002e-09
21,2.973,0.192,0.29206,86.059,5.000000000000002e-09
22,2.987,0.204,0.28303,88.2038,5.000000000000002e-09
23,2.983,0.204,0.27243,86.8633,5.000000000000002e-09
24,2.993,0.207,0.29838,86.5952,5.000000000000002e-09
25,2.991,0.195,0.28538,86.5952,5.000000000000002e-09
26,2.998,0.209,0.31988,86.8633,5.000000000000002e-09
27,2.986,0.202,0.28858,86.8633,5.000000000000002e-09
28,2.988,0.204,0.27976,87.9357,5.000000000000002e-09
29,3.009,0.222,0.30318,86.3271,5.000000000000002e-09
30,2.952,0.168,0.28481,87.9357,5.000000000000002e-09
31,2.935,0.157,0.30191,86.8633,5.000000000000002e-09
32,2.963,0.174,0.34549,83.378,5.000000000000002e-09
33,3.001,0.208,0.28861,85.5228,5.000000000000002e-09
34,2.997,0.213,0.30209,87.3995,5.000000000000002e-09
35,2.989,0.201,0.29303,88.74,5.000000000000002e-09
36,2.919,0.14,0.2734,89.008,5.000000000000002e-09
37,2.963,0.18,0.30977,86.5952,5.000000000000002e-09
38,2.999,0.213,0.27481,88.74,5.000000000000002e-09
39,3.039,0.254,0.28073,88.74,5.000000000000002e-09
